457362,0
593936,0
993382,1
661861,0
113352,0
237496,0
284935,1
931351,0
469637,0
111827,0
164928,0
869946,1
928384,1
335392,0
183959,1
287343,0
638399,1
797622,0
443946,0
399157,0
998296,1
868595,1
881581,0
631212,0
783564,0
672561,0
432354,0
741329,0
768498,1
459635,0
899997,1
996387,1
161769,0
888697,1
371282,0
911589,1
881849,1
379483,0
994381,0
229225,0
454868,0
948929,0
964782,1
826485,0
234753,0
918685,1
794958,1
581933,1
435951,0
777895,0
928837,0
295678,1
272741,0
316353,0
356671,0
481678,0
659388,0
647849,1
854762,0
391273,0
244126,0
495566,0
128864,0
235193,0
945456,0
849311,1
777133,0
826231,0
368494,1
726358,0
937183,0
339555,0
979482,1
998938,1
839827,1
539943,0
354869,1
467515,0
878288,0
163944,0
943381,1
185995,1
462819,1
828798,1
839747,0
764718,0
286252,0
127698,0
457132,0
742471,0
879677,0
713268,0
188298,1
312338,0
167667,0
567234,0
892659,0
869596,0
622878,0
474468,0
779216,0
141361,0
157934,0
667448,0
488918,1
389646,0
839267,1
964727,0
842339,0
225364,0
155861,0
991641,0
396588,1
829647,1
912945,0
374863,0
636487,0
547247,0
991658,0
695828,1
491163,0
357928,0
728299,1
136144,0
273675,0
869251,1
561561,0
798192,0
975287,1
972681,1
147926,0
651831,0
532249,0
717975,0
829431,1
436624,0
628859,1
472478,0
847695,0
792162,0
595397,0
527557,0
996783,1
343626,0
473618,0
291882,0
549545,0
983262,0
382936,1
212573,0
587583,0
279767,0
115551,0
777311,0
978844,0
795272,0
293725,0
631925,0
471563,0
598369,0
499171,0
935785,1
287443,0
193687,0
192958,1
391228,1
256869,1
129773,0
998186,1
318571,0
299954,0
237328,0
688563,0
386934,1
973862,0
879175,1
927982,1
148598,1
939381,1
734449,0
473829,1
563448,0
586816,0
354684,0
236344,0
151363,0
582579,0
489581,0
196328,1
312839,1
356311,0
947573,0
186387,0
337685,0
948192,1
641248,0
826924,0
488365,0
152528,0
494525,0
468592,1
586189,0
889912,1
764747,0
489529,0
216732,0
938592,1
788917,0
254924,0
782882,0
274184,0
826821,0
659859,1
553315,0
826369,0
453261,0
196415,0
293998,1
124886,0
182951,0
768899,1
584646,0
585959,1
985761,0
986884,1
958237,0
439837,0
914218,0
671677,0
624576,0
448515,0
297859,1
279819,1
874336,0
541238,0
